REG;Région;DEP;CODCOM;Commune;CODFRAC_CAN;FRAC_CAN;Fraction cantonale;PMUN;PCAP;PTOT
24;Centre-Val de Loire;36;202;Saint-Maur;04;3620204;Buzançais;3192;65;3257
24;Centre-Val de Loire;36;044;Châteauroux;05;3604405;Châteauroux-1;9270;317;9587
24;Centre-Val de Loire;36;044;Châteauroux;06;3604406;Châteauroux-2;16008;679;16687
24;Centre-Val de Loire;36;044;Châteauroux;07;3604407;Châteauroux-3;17690;596;18286
24;Centre-Val de Loire;36;202;Saint-Maur;10;3620210;Levroux;449;4;453
24;Centre-Val de Loire;37;261;Tours;15;3726115;Tours-1;42379;834;43213
24;Centre-Val de Loire;37;261;Tours;16;3726116;Tours-2;31296;400;31696
24;Centre-Val de Loire;37;261;Tours;17;3726117;Tours-3;31355;697;32052
24;Centre-Val de Loire;37;261;Tours;18;3726118;Tours-4;32628;527;33155
84;Auvergne-Rhône-Alpes;38;169;Fontaine;06;3816906;Fontaine-Seyssinet;11361;108;11469
84;Auvergne-Rhône-Alpes;38;169;Fontaine;07;3816907;Fontaine-Vercors;11530;135;11665
84;Auvergne-Rhône-Alpes;38;185;Grenoble;09;3818509;Grenoble-1;45199;837;46036
84;Auvergne-Rhône-Alpes;38;185;Grenoble;10;3818510;Grenoble-2;20365;211;20576
84;Auvergne-Rhône-Alpes;38;185;Grenoble;11;3818511;Grenoble-3;48689;750;49439
84;Auvergne-Rhône-Alpes;38;185;Grenoble;12;3818512;Grenoble-4;43224;463;43687
84;Auvergne-Rhône-Alpes;38;544;Vienne;27;3854427;Vienne-1;17165;170;17335
84;Auvergne-Rhône-Alpes;38;544;Vienne;28;3854428;Vienne-2;13886;201;14087
27;Bourgogne-Franche-Comté;39;198;Dole;05;3919805;Dole-1;13635;479;14114
27;Bourgogne-Franche-Comté;39;198;Dole;06;3919806;Dole-2;10140;348;10488
27;Bourgogne-Franche-Comté;39;300;Lons-le-Saunier;07;3930007;Lons-le-Saunier-1;7609;467;8076
27;Bourgogne-Franche-Comté;39;300;Lons-le-Saunier;08;3930008;Lons-le-Saunier-2;9434;377;9811
75;Nouvelle-Aquitaine;40;088;Dax;05;4008805;Dax-1;1824;30;1854
75;Nouvelle-Aquitaine;40;088;Dax;06;4008806;Dax-2;19523;792;20315
75;Nouvelle-Aquitaine;40;192;Mont-de-Marsan;10;4019210;Mont-de-Marsan-1;20017;923;20940
75;Nouvelle-Aquitaine;40;192;Mont-de-Marsan;11;4019211;Mont-de-Marsan-2;10657;461;11118
24;Centre-Val de Loire;41;018;Blois;02;4101802;Blois-1;21196;209;21405
24;Centre-Val de Loire;41;018;Blois;03;4101803;Blois-2;14896;529;15425
24;Centre-Val de Loire;41;018;Blois;04;4101804;Blois-3;8710;669;9379
24;Centre-Val de Loire;41;059;Le Controis-en-Sologne;04;4105904;Blois-3;2218;68;2286
24;Centre-Val de Loire;41;059;Le Controis-en-Sologne;07;4105907;Montrichard Val de Cher;4501;85;4586
24;Centre-Val de Loire;41;018;Blois;15;4101815;Vineuil;2011;50;2061
84;Auvergne-Rhône-Alpes;42;187;Roanne;11;4218711;Roanne-1;22236;576;22812
84;Auvergne-Rhône-Alpes;42;187;Roanne;12;4218712;Roanne-2;12526;154;12680
84;Auvergne-Rhône-Alpes;42;218;Saint-Étienne;14;4221814;Saint-Etienne-1;39296;440;39736
84;Auvergne-Rhône-Alpes;42;218;Saint-Étienne;15;4221815;Saint-Etienne-2;16238;162;16400
84;Auvergne-Rhône-Alpes;42;218;Saint-Étienne;16;4221816;Saint-Etienne-3;26135;264;26399
84;Auvergne-Rhône-Alpes;42;218;Saint-Étienne;17;4221817;Saint-Etienne-4;28611;247;28858
84;Auvergne-Rhône-Alpes;42;218;Saint-Étienne;18;4221818;Saint-Etienne-5;22557;134;22691
84;Auvergne-Rhône-Alpes;42;218;Saint-Étienne;19;4221819;Saint-Etienne-6;39881;534;40415
84;Auvergne-Rhône-Alpes;43;157;Le Puy-en-Velay;12;4315712;Le Puy-en-Velay-1;5258;68;5326
84;Auvergne-Rhône-Alpes;43;157;Le Puy-en-Velay;13;4315713;Le Puy-en-Velay-2;4712;152;4864
